name,snapshot,aperture_kpc,N_star_in_ap,Mstar_Msol,is_dwarf,N_gas_in_ap,MHI_Msol,SFR_window_Myr,SFR_Msol_per_yr,hi_method
r107,/mnt/data0/pkrsnak/romulus/r107.007779.tipsy,30.0,409210,16297586982.785446,False,17707,222171057.2260459,25.0,0.06654740057468467,pynbody_ionfrac_hi
r142,/mnt/data0/pkrsnak/romulus/r142.007779.tipsy,30.0,206019,8553482295.281763,False,74328,1420445904.231637,25.0,1.2460823348019665,pynbody_ionfrac_hi
r154,/mnt/data0/pkrsnak/romulus/r154.007779.tipsy,30.0,396678,16495328542.82249,False,20974,268382986.33986774,25.0,1.311971722691166,pynbody_ionfrac_hi
r168,/mnt/data0/pkrsnak/romulus/r168.007779.tipsy,30.0,161969,6592400369.037241,False,36211,668208169.8455365,25.0,0.44920065699882716,pynbody_ionfrac_hi
r204,/mnt/data0/pkrsnak/romulus/r204.007779.tipsy,30.0,100424,4146004957.3673563,False,27336,446403656.13924515,25.0,0.44760364435380423,pynbody_ionfrac_hi
r219,/mnt/data0/pkrsnak/romulus/r219.007779.tipsy,30.0,147193,6080062985.91157,False,45860,819717696.2714651,25.0,0.8510689531999877,pynbody_ionfrac_hi
r223,/mnt/data0/pkrsnak/romulus/r223.007779.tipsy,30.0,142654,6015423087.208622,False,37679,771330930.5254216,25.0,1.0796624530633043,pynbody_ionfrac_hi
r239,/mnt/data0/pkrsnak/romulus/r239.007779.tipsy,30.0,101446,4310311575.852039,False,45632,1027717678.0010741,25.0,1.0556984620231566,pynbody_ionfrac_hi
r284,/mnt/data0/pkrsnak/romulus/r284.007779.tipsy,30.0,72957,2933177456.0356708,True,11816,140746566.20463204,25.0,0.09296200995279752,pynbody_ionfrac_hi
r306,/mnt/data0/pkrsnak/romulus/r306.007779.tipsy,30.0,85366,3538790230.1088095,False,32180,559702987.0541819,25.0,0.39774362329535196,pynbody_ionfrac_hi
r316,/mnt/data0/pkrsnak/romulus/r316.007779.tipsy,30.0,48018,1993337169.890403,True,33506,628804869.548807,25.0,0.4628636161387728,pynbody_ionfrac_hi
r320,/mnt/data0/pkrsnak/romulus/r320.007779.tipsy,30.0,91463,3879523668.6320214,False,26587,476043845.7939027,25.0,0.6265101751723249,pynbody_ionfrac_hi
r330,/mnt/data0/pkrsnak/romulus/r330.007779.tipsy,30.0,50568,2085154814.7313924,True,29202,468731324.86228347,25.0,0.25935953555616265,pynbody_ionfrac_hi
r372,/mnt/data0/pkrsnak/romulus/r372.007779.tipsy,30.0,57458,2362580946.2115326,True,19742,348106408.90071934,25.0,0.28743890835899316,pynbody_ionfrac_hi
r429,/mnt/data0/pkrsnak/romulus/r429.007779.tipsy,30.0,44256,1812944542.9278355,True,15077,198435634.39192396,25.0,0.07486933996141142,pynbody_ionfrac_hi
