,HaloID,Mvir,Mstar,Mgas,dustExt_B,dustExt_K,Bmag,Kmag
0,109,243695224892.47195,20973637295.722797,20561554774.960655,0.2794789895567798,0.018320826697112144,-19.715357635816783,-21.042550218439644
1,142,239589838408.62582,4941306768.714676,29957319333.885983,0.04400580816760068,0.0028847348646263067,-18.880999841491803,-19.68048336806192
2,154,107876523772.94485,23158097635.59277,410991691.2601236,0.9994195243541955,0.0655154504903615,-19.36359208022979,-20.996511594530617
3,204,71099892364.62949,17318722851.11124,4198194676.357507,0.6006337313393848,0.0393736449303752,-19.38879066703338,-20.863960963184972
4,219,73324582683.93169,15876486818.977434,531651518.7420212,0.9994195243541955,0.0655154504903615,-18.70871237572519,-20.42497935666882
5,223,108958556682.83592,10259597162.868406,4833058943.8513775,0.758570102592567,0.04972692727009275,-18.49482407923703,-20.12841914193665
6,239,156214618715.7729,2188200539.041525,7319051826.614087,0.007791137069925196,0.000510736324966375,-16.4942394186806,-17.735332400096034
7,320,40378371596.74106,10659242873.377262,1939561036.2187948,0.9994195243541955,0.0655154504903615,-19.220237122104514,-20.44104189248484
8,330,42656702731.7084,9948198218.722805,296183270.16409165,0.9994195243541955,0.0655154504903615,-18.50897477450152,-20.204802887512145
9,372,52276408243.84499,5521158042.388342,3336282309.230606,0.33071768136611546,0.02167970241909146,-18.15929550411928,-19.712525714807313
10,429,23158947189.876045,7162164107.851244,0.0,0.0,0.0,-17.237905437661038,-19.28001865628846
