name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
IC3104,13.65,9.26,,2.27,,17.43,8.0,6.9,0.0018179827586133,,184.69192,-79.72606999999999,0.4098314344882965,-16.95073708352521,False,1.486048781454563,0.12540841895341873,12.163951218545437,9.134591581046582,4.390000000000001,3.029359637498855,False,True,False
NGC2915,13.2,9.7,,3.78,15.65,15.99,9.21,8.54,0.0189898548602895,0.0039235857404763,141.54805000000002,-76.62631944444443,0.27486756443977356,-18.357262593970948,False,0.9966697886586189,0.0841094747185707,12.203330211341381,9.61589052528143,3.5,2.587439686059952,False,False,False
SMC,2.7,0.16,C,0.06,,7.97,9.25,8.65,0.0077239694347698,,13.158333333333331,-72.80027777777778,0.42376044392585754,-44.32768789697891,False,1.5365553696751595,0.1296706958413124,1.1634446303248407,0.030329304158687592,2.54,1.133115326166153,True,True,True
LMC,0.91,-1.75,C,0.05,,3.79,9.44,8.66,0.2520449814197988,,80.89416666666666,-69.75611111111111,0.9254793524742126,-32.888401793515,False,3.355788132071495,0.28319668185710906,-2.445788132071495,-2.0331966818571092,2.66,-0.4125914502143857,True,True,True
ESO059-001,13.98,11.25,,4.57,,17.89,9.09,7.98,0.0048235906637706,,112.82584,-68.18799,0.14741264283657074,-21.475735115614135,False,0.5345182429254055,0.045108268707990645,13.445481757074594,11.20489173129201,2.7300000000000004,2.240590025782584,False,False,False
IC4710,12.51,9.56,C,7.94,14.18,15.53,8.96,8.66,0.1279908875290678,0.0670410106468282,277.1582041666666,-66.98227777777778,0.0887230932712555,-22.65052408264307,False,0.3217099362015724,0.02714926654100418,12.188290063798428,9.532850733458996,2.9499999999999993,2.6554393303394317,False,False,False
IC4870,14.5,12.11,,7.3,15.53,17.04,8.8,8.49,0.0269267393246397,0.016343507552885,294.40666471417,-65.81185263349,0.11291675269603729,-29.27134055982857,False,0.4094361452758312,0.03455252632498741,14.090563854724168,12.075447473675013,2.3900000000000006,2.0151163810491557,False,False,False
NGC6684,11.31,7.05,,8.7,,,9.47,7.41,,,282.24114951374,-65.17342342328,0.06647752970457077,-24.19292664143446,False,0.2410475227087736,0.020342124089598655,11.068952477291226,7.029657875910401,4.260000000000001,4.039294601380825,False,False,False
ESO104-022,15.63,12.95,C,6.7,17.55,,8.03,8.28,,0.0021421464240603,283.9216666666667,-64.81083333333333,0.08254756778478622,-24.81217628328943,False,0.2993174807876348,0.025259555742144585,15.330682519212367,12.924740444257855,2.6800000000000015,2.4059420749545115,False,False,False
IC4662,11.74,8.53,,2.44,13.02,13.81,8.62,8.2,0.0589274568381167,0.0184280423016836,266.78830000000005,-64.63868055555557,0.06988876312971115,-17.84896794243324,False,0.2534166551083326,0.02138596151769161,11.486583344891667,8.508614038482309,3.210000000000001,2.977969306409358,False,False,False
