name,snapshot,aperture_kpc,N_star_in_ap,Mstar_Msol,is_dwarf,N_gas_in_ap,MHI_Msol,SFR_window_Myr,SFR_Msol_per_yr,hi_method,N_bh,M_bh_Msol
r107,/mnt/data0/pkrsnak/romulus/r107.007779.tipsy,30.0,409205,16269498035.91479,False,17707,222171057.2260459,25.0,0.06654740057468467,pynbody_ionfrac_hi,5,28088946.87065244
r142,/mnt/data0/pkrsnak/romulus/r142.007779.tipsy,30.0,206018,8549326623.511531,False,74328,1420445904.231637,25.0,1.2460823348019665,pynbody_ionfrac_hi,1,4155671.7702340153
r154,/mnt/data0/pkrsnak/romulus/r154.007779.tipsy,30.0,396676,16479943920.948603,False,20974,268382986.33986774,25.0,1.311971722691166,pynbody_ionfrac_hi,2,15384621.873881787
r168,/mnt/data0/pkrsnak/romulus/r168.007779.tipsy,30.0,161968,6578284054.226831,False,36211,668208169.8455365,25.0,0.44920065699882716,pynbody_ionfrac_hi,1,14116314.810408426
r204,/mnt/data0/pkrsnak/romulus/r204.007779.tipsy,30.0,100423,4139133498.982129,False,27336,446403656.13924515,25.0,0.44760364435380423,pynbody_ionfrac_hi,1,6871458.385226958
r219,/mnt/data0/pkrsnak/romulus/r219.007779.tipsy,30.0,147192,6079024433.92806,False,45860,819717696.2714651,25.0,0.8510689531999877,pynbody_ionfrac_hi,1,1038551.9835121038
r223,/mnt/data0/pkrsnak/romulus/r223.007779.tipsy,30.0,142654,6015423087.208622,False,37679,771330930.5254216,25.0,1.0796624530633043,pynbody_ionfrac_hi,0,0.0
r239,/mnt/data0/pkrsnak/romulus/r239.007779.tipsy,30.0,101445,4308261067.856474,False,45632,1027717678.0010741,25.0,1.0556984620231566,pynbody_ionfrac_hi,1,2050507.9955657201
r284,/mnt/data0/pkrsnak/romulus/r284.007779.tipsy,30.0,72956,2926537768.3236303,True,11816,140746566.20463204,25.0,0.09296200995279752,pynbody_ionfrac_hi,1,6639687.712040043
r306,/mnt/data0/pkrsnak/romulus/r306.007779.tipsy,30.0,85365,3537778093.051477,False,32180,559702987.0541819,25.0,0.39774362329535196,pynbody_ionfrac_hi,1,1012137.0573323851
r316,/mnt/data0/pkrsnak/romulus/r316.007779.tipsy,30.0,48017,1989880072.491652,True,33506,628804869.548807,25.0,0.4628636161387728,pynbody_ionfrac_hi,1,3457097.3987513296
r320,/mnt/data0/pkrsnak/romulus/r320.007779.tipsy,30.0,91461,3876294510.555088,False,26587,476043845.7939027,25.0,0.6265101751723249,pynbody_ionfrac_hi,2,3229158.0769339134
r330,/mnt/data0/pkrsnak/romulus/r330.007779.tipsy,30.0,50568,2085154814.7313924,True,29202,468731324.86228347,25.0,0.25935953555616265,pynbody_ionfrac_hi,0,0.0
r372,/mnt/data0/pkrsnak/romulus/r372.007779.tipsy,30.0,57458,2362580946.2115326,True,19742,348106408.90071934,25.0,0.28743890835899316,pynbody_ionfrac_hi,0,0.0
r429,/mnt/data0/pkrsnak/romulus/r429.007779.tipsy,30.0,44256,1812944542.9278355,True,15077,198435634.39192396,25.0,0.07486933996141142,pynbody_ionfrac_hi,0,0.0
