halo,mag_B,mag_Ks,BK,BK_nodust,internal_reddening,flux_style
r107,5.433155142596206,1.6458919596612454,3.787263182934961,3.789875947986719,-0.0026127650517580037,fnu
r142,4.586803787718324,1.5097534656042164,3.0770503221141077,2.658091976630395,0.4189583454837127,fnu
r154,5.650264675351565,1.145395839193938,4.504868836157627,3.079354363560661,1.4255144725969657,fnu
r168,5.033961673547992,2.1203906227614233,2.913571050786569,2.7739001404378953,0.13967091034867352,fnu
r204,5.39193164501328,2.4068391098877235,2.985092535125556,2.6994943590473994,0.28559817607815674,fnu
r219,4.915393444634155,1.9342114838547602,2.981181960779395,2.712712193405757,0.26846976737363804,fnu
r223,5.269656529030819,1.748099143955784,3.5215573850750346,2.6048610844059894,0.9166963006690452,fnu
r239,5.0263881422201315,1.99007770595448,3.0363104362656514,2.4222710361018187,0.6140394001638327,fnu
r284,6.405272115547504,3.2778712933917618,3.1274008221557423,3.0820821880926133,0.04531863406312908,fnu
r306,5.474000956297054,2.5279544496128246,2.9460465066842296,2.6484300570496124,0.2976164496346172,fnu
r316,5.484995512760779,3.040290743191072,2.4447047695697073,2.3851133227541155,0.05959144681559181,fnu
r320,5.608248224291909,2.235511540381964,3.3727366839099453,2.46721403756775,0.9055226463421953,fnu
r330,5.81484188264319,3.16445734599014,2.65038453665305,2.599723714425174,0.05066082222787571,fnu
r372,5.8454813117335505,3.0232112244296694,2.822270087303881,2.67330573506619,0.1489643522376909,fnu
r429,6.435801410528619,3.4726321501809494,2.9631692603476694,2.875820471758445,0.08734878858922457,fnu
