name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr
IC3104,13.65,9.26,,2.27,,17.43,8.0,6.9,0.0018179827586133855,
NGC2915,13.2,9.7,,3.78,15.65,15.99,9.21,8.54,0.018989854860289517,0.003923585740476334
SMC,2.7,0.16,C,0.06,,7.97,9.25,8.65,0.007723969434769828,
LMC,0.91,-1.75,C,0.05,,3.79,9.44,8.66,0.2520449814197988,
ESO059-001,13.98,11.25,,4.57,,17.89,9.09,7.98,0.004823590663770649,
IC4710,12.51,9.56,C,7.94,14.18,15.53,8.96,8.66,0.12799088752906784,0.06704101064682823
IC4870,14.5,12.11,,7.3,15.53,17.04,8.8,8.49,0.026926739324639716,0.016343507552885078
NGC6684,11.31,7.05,,8.7,,,9.47,7.41,,
ESO104-022,15.63,12.95,C,6.7,17.55,,8.03,8.28,,0.002142146424060375
IC4662,11.74,8.53,,2.44,13.02,13.81,8.62,8.2,0.058927456838116773,0.01842804230168367
ESO104-044,14.96,12.46,C,8.3,17.57,20.36,8.81,8.33,0.0016356645095330833,0.0032274218327991095
HIPASS J1441-62,20.5,12.93,C,6.02,,,8.15,7.54,,
IC4951,13.97,10.98,C,9.8,15.55,17.48,9.47,8.75,0.03235863528834939,0.028916897742304486
ESO115-021,13.34,9.97,,4.99,14.83,16.63,9.5,8.56,0.018354355408476564,0.014551261285823677
FG202,14.95,12.13,C,4.9,,18.03,8.48,8.27,0.004874501471319722,
ESO121-020,15.27,12.76,C,6.05,17.02,,8.08,7.94,,0.0028458388059854254
NGC1705,12.77,10.52,,5.11,13.4,15.11,9.21,7.96,0.07805124699771433,0.05695624481732493
ESO174-001,14.2,11.5,,3.6,,,8.64,8.17,,
ESO149-003,15.05,12.65,C,5.9,15.78,18.65,8.28,7.75,0.003992473746795341,0.008480150719146514
NGC1311,13.4,10.92,,5.2,15.02,16.46,9.02,7.99,0.02331013201006631,0.013264968869230656
IC5152,11.03,7.97,,1.97,12.54,15.91,8.94,8.02,0.005552268988969993,0.018690976874440043
IC1959,13.2,11.04,,6.05,14.47,16.39,9.41,8.36,0.03365493801835141,0.029799590568984458
ESO199-007,16.44,14.01,C,6.56,17.8,,8.1,7.32,,0.0016312000518745532
ESO238-005,14.7,12.28,C,7.8,16.56,19.06,9.18,8.33,0.004783295938499458,0.007225846860703245
ESO223-009,13.82,9.44,,6.49,,15.91,9.43,8.81,0.06025976578688319,
ESO215-009,16.03,12.6,,5.25,19.21,,8.63,8.82,,0.0002851137449993307
